Unnamed: 0,org_id,base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21,age
0,7,0.292951542,0,0,0,1,6,13,25,52,68,90,136,184,225,247,316,375,432,492,412,436,458,501,532,
1,9,1.951111111,0,0,0,0,0,0,0,0,0,0,2,9,222,377,513,671,918,1113,1210,1275,1695,1894,2195,
5,15,0.456321839,0,0,0,0,0,0,0,0,45,56,63,65,74,82,248,253,310,317,317,397,650,717,794,
6,16,0.072056239,0,0,0,0,0,0,0,0,0,0,17,31,39,47,46,48,61,72,76,77,81,82,82,
7,17,0.041415013,0,0,0,0,0,0,0,0,0,0,10,22,34,38,37,42,48,48,48,48,48,48,48,
10,23,0.02631579,0,0,0,0,0,0,0,15,19,21,21,21,22,22,25,25,25,25,0,0,0,0,0,
11,24,0.065269944,0,0,0,0,0,0,0,0,0,42,48,49,50,50,50,50,71,77,80,81,81,81,81,
13,27,0.001777778,0,0,0,0,0,0,0,0,0,0,17,29,34,26,23,29,31,41,48,47,58,2,2,
14,28,0.020346647,0,0,0,0,0,0,0,0,0,0,0,2,7,6,8,8,9,9,9,9,5,5,27,
16,31,0.014025245,0,0,0,0,0,0,0,11,18,32,34,48,68,74,25,28,30,24,23,23,23,21,20,
17,32,0.175732218,0,0,0,0,0,0,0,163,169,174,201,238,731,1478,1653,648,578,662,766,860,192,236,252,
19,35,0.045059289,0,0,0,0,0,0,0,0,4,57,57,57,57,57,57,57,57,57,57,57,57,57,57,
20,36,0.065897858,0,0,0,0,0,0,0,0,0,22,22,22,23,24,32,32,29,34,30,30,39,39,80,
25,41,3.139198949,0,0,0,0,0,0,0,16,46,259,418,698,1113,3057,3689,4972,6024,6289,6475,7598,8677,9853,4781,
26,42,0.266094421,0,0,0,0,0,0,0,0,0,0,78,127,156,238,180,108,209,267,293,289,241,281,310,
27,43,0.013557484,0,0,4,7,8,9,9,10,11,11,12,16,16,16,16,19,19,21,24,23,26,25,25,
29,45,1.201601165,0,0,0,0,0,0,0,4,10,23,24,67,105,114,29,68,72,94,98,142,495,1346,1651,
31,47,0.019823789,0,0,0,0,0,0,0,7,11,20,32,38,30,27,32,35,35,35,24,25,26,27,27,
36,55,0.043992121,0,0,0,0,0,0,9,34,105,125,215,268,301,320,321,276,292,315,248,65,65,67,67,
37,56,1.291640867,0,0,0,0,0,13,61,299,449,527,697,826,979,1077,1377,1754,1674,1806,1780,2201,1928,2046,2086,
39,58,0.111411209,0,0,0,0,0,0,1,19,19,21,22,29,15,28,35,68,89,112,140,91,129,160,165,
40,59,1.219978166,0,0,0,12,52,81,116,159,192,428,476,525,591,803,778,726,921,1104,1258,1403,2259,2304,2235,
41,60,0.077512777,0,0,0,0,0,0,0,0,0,11,19,32,35,41,51,54,67,73,77,81,83,84,91,
42,61,0.114720111,0,0,0,0,0,0,0,1,4,7,16,37,52,76,73,97,121,132,145,142,155,160,166,
43,62,0.027522936,0,0,0,0,0,0,0,8,13,15,16,30,32,39,33,35,38,39,39,39,39,39,39,
44,63,0.003051106,0,0,0,0,0,0,0,0,259,265,271,275,286,295,302,258,264,264,27,93,102,4,4,
45,65,0.604919679,0,27,107,154,209,279,368,458,536,654,701,865,825,882,781,790,825,833,865,993,1075,1222,1205,
46,67,0.00495356,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
50,72,0.144683324,0,0,0,13,13,13,15,18,41,52,76,95,93,109,99,112,128,120,254,245,250,249,249,
51,73,0.039096438,0,0,0,0,0,0,0,0,0,0,4,6,6,6,7,7,9,27,25,34,35,44,45,
52,74,0.008152174,0,0,0,0,0,0,0,5,6,9,10,16,17,17,17,18,17,15,15,15,15,15,15,
53,75,0.008219178,0,0,0,0,0,0,0,2,2,6,7,8,14,14,16,16,13,13,12,12,0,0,0,
54,76,0.082288401,0,0,0,0,0,0,0,0,3,4,17,36,39,64,57,67,56,48,59,56,74,104,105,
55,77,6.642491468,0,0,0,0,0,0,0,0,0,0,214,752,1529,2098,2538,2865,3174,3981,4848,5966,6382,7035,7785,
56,78,0.170398689,0,0,0,0,0,4,5,16,26,42,59,61,70,102,99,112,131,150,201,200,308,313,312,
57,79,0.0261959,0,0,0,21,22,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,
58,80,0.158730159,0,0,0,0,0,0,0,0,1,38,43,70,68,94,109,128,174,179,194,154,160,203,220,
60,82,0.160958904,0,0,0,0,0,0,3,3,22,62,92,163,229,263,305,296,294,172,178,185,208,215,235,
61,83,0.16064257,0,1,6,21,33,49,65,86,102,110,120,144,173,189,217,228,246,278,296,313,321,320,320,
63,86,0.034570412,0,0,3,14,39,56,78,108,135,160,198,242,236,33,83,121,36,142,98,61,107,18,68,
64,87,0.015548282,0,0,0,0,0,0,0,0,0,34,83,155,225,295,323,346,343,220,223,35,19,19,19,
68,93,0.007988381,0,0,0,0,0,0,0,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,
70,98,0.00804721,0,0,0,0,0,0,0,0,0,2,2,15,16,16,18,18,19,19,25,15,15,15,15,
71,99,0.271922768,0,0,0,0,0,0,0,0,0,5,19,47,72,96,140,206,263,280,337,338,338,338,338,
73,102,0.62979684,0,0,0,0,0,0,0,0,5,62,142,246,300,328,339,362,404,488,80,544,825,837,837,
74,103,0.01072523,0,0,0,1,1,1,3,15,26,27,27,30,30,32,34,33,35,30,32,33,33,33,21,
75,105,0.134735203,0,0,0,0,0,0,0,0,1,14,17,20,27,14,19,40,84,90,116,136,163,139,173,
77,107,0.226086957,0,0,0,0,0,0,0,0,0,0,16,27,39,39,48,82,101,118,188,160,166,217,260,
78,109,0.209064328,0,0,0,0,0,0,0,0,30,38,91,92,188,182,204,254,291,301,306,250,273,276,286,
80,112,1.101878613,0,0,0,0,0,0,0,5,31,285,426,886,979,1493,1378,1386,1546,1666,1627,1545,1540,1525,1525,
81,113,0.290819902,0,0,0,0,0,0,0,20,23,56,111,115,126,147,172,187,230,258,293,328,366,397,415,
82,114,0.082183908,0,0,0,0,0,26,26,26,39,74,88,152,127,134,129,124,133,146,154,155,156,144,143,
83,115,0.015942826,0,0,3,8,13,13,14,14,14,15,17,21,23,23,23,25,32,33,29,32,36,32,29,
84,116,0.026933702,0,0,0,0,0,0,3,11,14,14,16,18,18,23,26,32,32,32,33,39,39,39,39,
85,117,0.105479452,0,0,0,0,0,0,39,58,65,86,92,96,102,114,124,132,138,144,143,154,154,154,154,
86,118,0.003769521,0,0,1,1,1,2,4,6,9,13,15,15,13,13,10,8,8,7,7,7,7,7,7,
87,119,0.712922173,0,0,0,0,0,0,0,19,19,19,19,38,42,58,109,317,528,708,747,692,792,881,971,
88,120,0.315659679,0,0,0,0,0,1,2,40,61,77,93,127,159,157,175,175,183,200,212,268,299,382,512,
89,121,0.013552069,0,0,0,0,0,0,0,8,9,14,17,19,19,19,19,19,19,19,19,19,19,19,19,
90,122,0.094606543,0,0,0,0,0,0,0,0,0,0,2,38,66,80,98,102,41,65,85,109,111,108,107,
92,124,0.413090909,0,0,0,0,0,0,0,0,2,6,10,58,67,105,107,134,202,241,274,325,419,507,568,
