,org_id,start_date,churn_date,base_growth,common_base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21
0,7,4/14/16,,0.292951542,0.411389206,0,0,0,1,6,13,25,52,68,90,136,184,225,247,316,375,432,492,412,436,458,501,532
1,9,3/6/18,,1.951111111,0.411389206,0,0,0,0,0,0,0,0,0,0,2,9,222,377,513,671,918,1113,1210,1275,1695,1894,2195
2,10,11/3/17,2/19/19,0.042372881,0.411389206,0,0,0,0,0,0,0,0,0,4,20,20,20,20,0,0,0,0,0,0,0,0,0
3,11,8/29/17,1/10/19,0.008032129,0.411389206,0,0,0,0,0,0,0,0,2,2,2,4,4,0,0,0,0,0,0,0,0,0,0
4,13,6/29/16,5/21/19,0.011374408,0.411389206,0,0,0,1,6,12,16,26,37,50,53,58,47,44,15,0,0,0,0,0,0,0,0
5,15,6/29/16,,0.456321839,0.411389206,0,0,0,0,0,0,0,0,45,56,63,65,74,82,248,253,310,317,317,397,650,717,794
6,16,2/21/18,,0.072056239,0.411389206,0,0,0,0,0,0,0,0,0,0,17,31,39,47,46,48,61,72,76,77,81,82,82
7,17,1/31/18,,0.041415013,0.411389206,0,0,0,0,0,0,0,0,0,0,10,22,34,38,37,42,48,48,48,48,48,48,48
8,18,3/12/18,7/30/20,0.186206897,0.411389206,0,0,0,0,0,0,0,0,0,0,22,35,59,77,103,133,138,149,164,162,0,0,0
9,22,2/20/18,5/31/18,0.212121212,0.411389206,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
10,23,7/18/17,,0.02631579,0.411389206,0,0,0,0,0,0,0,15,19,21,21,21,22,22,25,25,25,25,0,0,0,0,0
11,24,11/10/17,,0.065269944,0.411389206,0,0,0,0,0,0,0,0,0,42,48,49,50,50,50,50,71,77,80,81,81,81,81
12,26,11/17/16,11/17/17,0.024725275,0.411389206,0,0,0,0,0,7,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,27,3/6/18,,0.001777778,0.411389206,0,0,0,0,0,0,0,0,0,0,17,29,34,26,23,29,31,41,48,47,58,2,2
14,28,8/16/17,,0.020346647,0.411389206,0,0,0,0,0,0,0,0,0,0,0,2,7,6,8,8,9,9,9,9,5,5,27
15,30,2/7/18,7/2/19,0.029469548,0.411389206,0,0,0,0,0,0,0,0,0,0,14,21,25,32,29,0,0,0,0,0,0,0,0
16,31,5/9/17,,0.014025245,0.411389206,0,0,0,0,0,0,0,11,18,32,34,48,68,74,25,28,30,24,23,23,23,21,20
17,32,5/1/17,,0.175732218,0.411389206,0,0,0,0,0,0,0,163,169,174,201,238,731,1478,1653,648,578,662,766,860,192,236,252
18,34,2/14/17,10/14/19,0.032955716,0.411389206,0,0,0,0,0,0,6,24,36,40,43,44,31,33,35,32,0,0,0,0,0,0,0
