org_id,start_date,churn_date,age,base_growth,common_base_growth,2016,2017,2018,2019,2020,2021
7,4/14/16,,none,0.292951542,0.411389206,6,68,225,432,458,532
9,3/6/18,,none,1.951111111,0.411389206,0,0,222,918,1695,2195
10,11/3/17,2/19/19,473,0.042372881,0.411389206,0,0,20,0,0,0
11,8/29/17,1/10/19,499,0.008032129,0.411389206,0,2,4,0,0,0
13,6/29/16,5/21/19,1056,0.011374408,0.411389206,6,37,47,0,0,0
15,6/29/16,,none,0.456321839,0.411389206,0,45,74,310,650,794
16,2/21/18,,none,0.072056239,0.411389206,0,0,39,61,81,82
17,1/31/18,,none,0.041415013,0.411389206,0,0,34,48,48,48
18,3/12/18,7/30/20,871,0.186206897,0.411389206,0,0,59,138,0,0
22,2/20/18,5/31/18,100,0.212121212,0.411389206,0,0,0,0,0,0
23,7/18/17,,none,0.02631579,0.411389206,0,19,22,25,0,0
24,11/10/17,,none,0.065269944,0.411389206,0,0,50,71,81,81
26,11/17/16,11/17/17,365,0.024725275,0.411389206,0,9,0,0,0,0
27,3/6/18,,none,0.001777778,0.411389206,0,0,34,31,58,2
28,8/16/17,,none,0.020346647,0.411389206,0,0,7,9,5,27
30,2/7/18,7/2/19,510,0.029469548,0.411389206,0,0,25,0,0,0
31,5/9/17,,none,0.014025245,0.411389206,0,18,68,30,23,20
32,5/1/17,,none,0.175732218,0.411389206,0,169,731,578,192,252
34,2/14/17,10/14/19,972,0.032955716,0.411389206,0,36,31,0,0,0
35,10/17/17,,none,0.045059289,0.411389206,0,4,57,57,57,57
36,12/7/17,,none,0.065897858,0.411389206,0,0,23,29,39,80
37,2/21/18,3/21/18,28,0.074074074,0.411389206,0,0,0,0,0,0
38,8/31/17,7/31/19,699,0.014326648,0.411389206,0,0,21,0,0,0
39,6/20/17,3/12/20,996,0.015075377,0.411389206,0,2,13,15,0,0
40,2/6/17,10/26/19,992,0.032290616,0.411389206,0,32,32,32,0,0
41,2/1/17,,none,3.139198949,0.411389206,0,46,1113,6024,8677,4781
42,1/25/18,,none,0.266094421,0.411389206,0,0,156,209,241,310
43,3/17/16,,none,0.013557484,0.411389206,8,11,16,19,26,25
44,4/20/16,8/8/18,840,0.034564958,0.411389206,0,13,0,0,0,0
45,6/30/17,,none,1.201601165,0.411389206,0,10,105,72,495,1651
46,8/16/16,2/19/19,917,0.066593887,0.411389206,13,128,74,0,0,0
